Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,196.24000549316406,196.72999572753906,195.27999877929688,195.61000061035156,194.84056091308594,35175100
2023-08-02,195.0399932861328,195.17999267578125,191.85000610351562,192.5800018310547,191.82247924804688,50389300
2023-08-03,191.57000732421875,192.3699951171875,190.69000244140625,191.1699981689453,190.41802978515625,61235200
2023-08-04,185.52000427246094,187.3800048828125,181.9199981689453,181.99000549316406,181.27415466308594,115799700
2023-08-07,182.1300048828125,183.1300048828125,177.35000610351562,178.85000610351562,178.146484375,97576100
2023-08-08,179.69000244140625,180.27000427246094,177.5800018310547,179.8000030517578,179.09274291992188,67823000
2023-08-09,180.8699951171875,180.92999267578125,177.00999450683594,178.19000244140625,177.48907470703125,60378500
2023-08-10,179.47999572753906,180.75,177.60000610351562,177.97000122070312,177.26995849609375,54686900
2023-08-11,177.32000732421875,178.6199951171875,176.5500030517578,177.7899932861328,177.32980346679688,51988100
2023-08-14,177.97000122070312,179.69000244140625,177.30999755859375,179.4600067138672,178.9954833984375,43675600
2023-08-15,178.8800048828125,179.47999572753906,177.0500030517578,177.4499969482422,176.9906768798828,43622600
2023-08-16,177.1300048828125,178.5399932861328,176.5,176.57000732421875,176.1129608154297,46964900
2023-08-17,177.13999938964844,177.50999450683594,173.47999572753906,174.0,173.54962158203125,66062900
2023-08-18,172.3000030517578,175.10000610351562,171.9600067138672,174.49000549316406,174.03834533691406,61114200
2023-08-21,175.07000732421875,176.1300048828125,173.74000549316406,175.83999633789062,175.3848419189453,46311900
2023-08-22,177.05999755859375,177.67999267578125,176.25,177.22999572753906,176.771240234375,42084200
2023-08-23,178.52000427246094,181.5500030517578,178.3300018310547,181.1199951171875,180.65118408203125,52722800
2023-08-24,180.6699981689453,181.10000610351562,176.00999450683594,176.3800048828125,175.92344665527344,54945800
2023-08-25,177.3800048828125,179.14999389648438,175.82000732421875,178.61000061035156,178.14767456054688,51449600
2023-08-28,180.08999633789062,180.58999633789062,178.5500030517578,180.19000244140625,179.7235870361328,43820700
2023-08-29,179.6999969482422,184.89999389648438,179.5,184.1199951171875,183.64341735839844,53003900
2023-08-30,184.94000244140625,187.85000610351562,184.74000549316406,187.64999389648438,187.16427612304688,60813900
2023-08-31,187.83999633789062,189.1199951171875,187.47999572753906,187.8699951171875,187.3837127685547,60794500
2023-09-01,189.49000549316406,189.9199981689453,188.27999877929688,189.4600067138672,188.9696044921875,45732600
2023-09-05,188.27999877929688,189.97999572753906,187.61000061035156,189.6999969482422,189.20896911621094,45280000
2023-09-06,188.39999389648438,188.85000610351562,181.47000122070312,182.91000366210938,182.43655395507812,81755800
2023-09-07,175.17999267578125,178.2100067138672,173.5399932861328,177.55999755859375,177.10040283203125,112488800
2023-09-08,178.35000610351562,180.24000549316406,177.7899932861328,178.17999267578125,177.71878051757812,65551300
2023-09-11,180.07000732421875,180.3000030517578,177.33999633789062,179.36000061035156,178.89573669433594,58953100
2023-09-12,179.49000549316406,180.1300048828125,174.82000732421875,176.3000030517578,175.84365844726562,90370200
2023-09-13,176.50999450683594,177.3000030517578,173.97999572753906,174.2100067138672,173.75906372070312,84267900
2023-09-14,174.0,176.10000610351562,173.5800018310547,175.74000549316406,175.28512573242188,60895800
2023-09-15,176.47999572753906,176.5,173.82000732421875,175.00999450683594,174.55697631835938,109205100
2023-09-18,176.47999572753906,179.3800048828125,176.1699981689453,177.97000122070312,177.50933837890625,67257600
2023-09-19,177.52000427246094,179.6300048828125,177.1300048828125,179.07000732421875,178.6064910888672,51826900
2023-09-20,179.25999450683594,179.6999969482422,175.39999389648438,175.49000549316406,175.03575134277344,58436200
2023-09-21,174.5500030517578,176.3000030517578,173.86000061035156,173.92999267578125,173.47979736328125,63047900
2023-09-22,174.6699981689453,177.0800018310547,174.0500030517578,174.7899932861328,174.33755493164062,56725400
2023-09-25,174.1999969482422,176.97000122070312,174.14999389648438,176.0800018310547,175.6242218017578,46172700
2023-09-26,174.82000732421875,175.1999969482422,171.66000366210938,171.9600067138672,171.514892578125,64588900
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,169.98883056640625,66921800
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,170.24818420410156,56294400
2023-09-29,172.02000427246094,173.07000732421875,170.33999633789062,171.2100067138672,170.76683044433594,51814200
2023-10-02,171.22000122070312,174.3000030517578,170.92999267578125,173.75,173.30026245117188,52164500
2023-10-03,172.25999450683594,173.6300048828125,170.82000732421875,172.39999389648438,171.95375061035156,49594600
2023-10-04,171.08999633789062,174.2100067138672,170.97000122070312,173.66000366210938,173.2104949951172,53020300
2023-10-05,173.7899932861328,175.4499969482422,172.67999267578125,174.91000366210938,174.45726013183594,48527900
2023-10-06,173.8000030517578,177.99000549316406,173.17999267578125,177.49000549316406,177.0305938720703,57224100
