"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"04-25 Day","RE_RANK","D16_20",100,2.2,100,6.9,100,9.2,100,11.2,60,0.6,100,5.8,100,8.2,100,10.2,0,-0.9,60,0.4,80,3.7,100,5.5
"04-25 Day","RE_RANK","Z21~all",98.3,2.1,96.7,5.4,93.4,6.1,91.7,9,51.9,0.1,89.5,4.2,88.4,4.7,90.1,7.3,0,-1.1,36.5,-0.9,61.3,0.7,65.2,1.6
"04-25 Day","RE_RANK_UP","A1_5",100,1.3,100,6,100,8,100,9.7,40,-0.6,100,4.5,100,7,100,8.8,0,-1.4,20,-1.5,80,1.9,100,3.2
"04-25 Day","RE_RANK_UP","B6_10",80,1.3,100,4.6,80,4.9,80,3.5,20,-0.8,80,3.8,80,2.2,80,1.8,0,-1.6,20,-2.7,40,-1.4,40,-1.5
"04-25 Day","RE_RANK_UP","C11_15",80,1.6,100,7.3,100,11.4,80,10.6,40,-0.1,100,6.2,80,9.4,80,9.1,0,-1.1,40,-1.1,80,4,80,3.9
"04-25 Day","RE_RANK_UP","D16_20",100,0.9,100,5.7,100,6.8,100,7.4,0,-1.6,100,3.8,80,5.5,80,5.7,0,-1.7,0,-2.7,40,1.1,60,-0.7
"04-25 Day","RE_RANK_UP","Z21~all",98.9,2.1,96.7,5.4,93.4,6.1,91.7,9.1,53.6,0.2,89.5,4.2,88.4,4.8,90.1,7.5,0,-1.1,38.1,-0.9,61.9,0.8,65.7,1.7
"04-27 Day","NO_UP_HIGH1","A1_5",100,2.7,80,3.6,100,5.5,100,5.8,80,1.6,60,1.2,100,4.1,100,4.2,0,-0.8,20,-2.4,40,-0.1,20,-0.5
"04-27 Day","NO_UP_HIGH1","B6_10",100,7.6,100,10,100,11.2,100,13.1,100,6.6,100,6.8,80,10,80,10.2,0,-0.7,60,2.9,80,5.1,40,4.6
"04-27 Day","NO_UP_HIGH1","C11_15",80,3.3,80,5.9,80,5.7,80,7.9,80,2.9,80,4.5,80,4.6,80,5.9,0,-0.9,80,0.8,80,2.3,60,1.7
