"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"08-15 Day","NO_UP_HIGH1","A1_5",100,1.3,80,1.9,100,3.3,100,3.1,40,-0.1,80,1.2,100,3,80,2,0,-1,20,-1.8,40,-0.5,80,1.5
"08-15 Day","NO_UP_HIGH1","B6_10",100,1.2,100,3.6,100,4.6,80,2.1,100,0.6,100,3.2,100,3.9,80,1.5,0,-0.3,60,0.1,60,-1.1,80,0.9
"08-15 Day","NO_UP_HIGH1","C11_15",100,1,100,1.9,100,2.9,100,3.1,80,0.4,100,1.7,100,2.3,100,2.6,0,-0.4,40,-0.1,60,0.1,80,2.2
"08-15 Day","NO_UP_HIGH1","D16_20",100,1.3,100,3.7,100,4.7,100,5.3,100,1,100,3.2,100,4,100,4.1,0,-0.2,40,0.2,80,2,100,3.7
"08-15 Day","NO_UP_HIGH1","Z21~all",98.9,1.1,96.6,2.3,94.3,3.3,85.8,2.8,59.1,0.5,85.8,1.7,89.2,2.6,79.5,1.8,0,-0.7,27.3,-0.6,50.6,-0.1,73.9,1.2
"08-15 Day","NO_UP_HIGH16","A1_5",100,1.2,80,2.3,100,3.8,100,4.2,60,0.3,80,1.8,100,3.2,100,3.3,0,-0.7,40,-1.1,80,0.8,100,3
"08-15 Day","NO_UP_HIGH16","B6_10",100,0.5,100,1.9,100,2.5,80,2,40,0.1,100,1.4,100,2,60,1.2,0,-0.7,20,-0.6,20,-0.5,40,0.9
"08-15 Day","NO_UP_HIGH16","C11_15",100,0.5,100,1.5,100,3.2,100,4.1,60,-0.1,80,1,80,2.9,100,3.5,0,-0.5,20,-1,60,0.1,100,3.1
"08-15 Day","NO_UP_HIGH16","D16_20",100,1.7,100,3.5,100,3.3,100,2.7,80,1.1,100,2.8,100,2.8,80,1.5,0,-0.4,40,0,60,0,80,0.9
"08-15 Day","NO_UP_HIGH16","Z21~all",98.9,1.1,96.6,2.4,94.3,3.4,85.8,2.8,61.4,0.5,86.4,1.8,89.8,2.7,80.1,1.8,0,-0.7,28.4,-0.6,51.1,0,74.4,1.2
"08-15 Day","RE_RANK","A1_5",100,1.1,80,3.2,100,4,100,4.5,80,0.7,80,2.7,100,3.4,100,3.6,0,-0.4,40,-0.4,80,1.5,100,3.2
"08-15 Day","RE_RANK","B6_10",100,2.5,80,3.2,100,4.7,100,3.8,60,0.9,80,2.5,100,4.3,60,2.8,0,-1,60,-0.2,60,0.7,60,2.2
"08-15 Day","RE_RANK","C11_15",100,0.8,100,2.4,100,3,100,3.2,60,0.4,100,1.9,100,2.5,80,2.4,0,-0.6,60,0,60,0.2,80,2.1
"08-15 Day","RE_RANK","D16_20",100,1.3,100,4.2,100,4.3,60,3,100,1.1,100,3.8,80,3.9,60,2.3,0,-0.5,60,-0.4,40,-0.7,60,0.9
