"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"03-02 Day","NO_UP_HIGH16","B6_10",100,5.7,100,9.9,100,13.5,100,9.1,80,4.3,100,3.9,100,9.2,100,7.8,0,-2.8,0,-8.1,0,-6.9,60,4.7
"03-02 Day","NO_UP_HIGH16","C11_15",100,2.9,100,35.1,100,45.6,100,45.8,50,1,75,26.6,100,20.3,100,41.4,0,-4,0,-10.4,25,1.6,100,13.6
"03-02 Day","NO_UP_HIGH16","D16_20",100,3.2,80,6.4,60,3.3,60,3.2,60,1.8,80,1.5,40,1,60,1.2,0,-2.5,0,-11.7,0,-11.7,20,-2.3
"03-02 Day","NO_UP_HIGH16","Z21~all",96.8,8.6,94.7,22.2,90.4,23.3,94.7,21.6,81.9,5,85.1,12.2,89.4,17.1,92.6,17.6,0,-3.2,10.6,-6.7,30.9,-1.5,84,12.5
"03-02 Day","RE_RANK","A1_5",100,1.3,75,6.4,75,6.8,75,8.4,25,0,50,-1.2,75,3.6,75,5.3,0,-2.9,0,-14.6,0,-13.3,50,0.1
"03-02 Day","RE_RANK","B6_10",100,1.8,80,4.6,60,6.6,60,24.8,40,-0.7,40,0.2,60,2.7,60,21.3,0,-4.6,0,-15.2,0,-13.4,40,-1.5
"03-02 Day","RE_RANK","C11_15",100,3.5,100,7.7,80,5.2,80,3.5,80,3,100,2.2,60,1.9,80,1.9,0,-2.3,0,-10.9,0,-10.2,20,-1.3
"03-02 Day","RE_RANK","D16_20",100,10.7,100,27,80,21.7,80,19,60,4.1,80,17.2,80,13.7,60,14.5,0,-7.8,20,-6.5,20,-5.9,60,9.6
"03-02 Day","RE_RANK","Z21~all",96.8,8.4,94.7,22.6,91.5,24.3,95.7,21.6,83,5,86.2,12.5,90.4,17.5,94.7,17.8,0,-2.9,9.6,-6.6,30.9,-1,86.2,12.7
"03-02 Day","RE_RANK_UP","A1_5",100,1.3,75,6.4,75,6.8,75,8.4,25,0,50,-1.2,75,3.6,75,5.3,0,-2.9,0,-14.6,0,-13.3,50,0.1
"03-02 Day","RE_RANK_UP","B6_10",100,1.3,100,7,80,7.5,60,23.9,40,-0.3,60,1.9,60,3,60,20.7,0,-3.9,0,-13.7,0,-12.2,40,-0.7
"03-02 Day","RE_RANK_UP","C11_15",100,4,80,5.2,60,4.3,80,4.4,80,2.6,80,0.5,60,1.5,80,2.5,0,-3,0,-12.5,0,-11.4,20,-2
"03-02 Day","RE_RANK_UP","D16_20",100,4.7,100,17.8,80,8.6,80,4.7,80,-1.3,80,7.4,80,2.6,60,0.5,0,-7.1,0,-12.1,20,-11.1,60,-2.1
"03-02 Day","RE_RANK_UP","Z21~all",96.8,8.7,94.7,23,91.5,25,95.7,22.4,81.9,5.3,86.2,13.1,90.4,18.1,94.7,18.5,0,-2.9,10.6,-6.3,30.9,-0.7,86.2,13.4
"03-03 Day","NO_UP_HIGH1","A1_5",80,2.5,60,3.9,60,7.3,NA,NA,20,-1.9,40,0.7,60,3.9,NA,NA,0,-9.2,0,-12.2,20,-3.9,NA,NA
"03-03 Day","NO_UP_HIGH1","B6_10",100,9.7,80,9.1,80,10.7,NA,NA,20,1.7,40,3.2,40,2.8,NA,NA,0,-7.8,0,-16,20,-9.1,NA,NA
"03-03 Day","NO_UP_HIGH1","C11_15",80,5,80,6.5,100,20.1,NA,NA,40,-0.1,60,2.9,100,15.9,NA,NA,0,-10.2,0,-12.1,40,-1.7,NA,NA
"03-03 Day","NO_UP_HIGH1","D16_20",60,5.6,100,28.2,100,18.3,NA,NA,20,-1.7,60,10.5,80,12.7,NA,NA,0,-8.3,0,-9.7,40,4.2,NA,NA
